,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,3661.8342,1810.3387,1164.6748,1016.0538,638.78436,551.98584,454.82104,441.46542,399.53317,324.46625,290.92285,273.57498,235.70862,226.61154,210.36046,200.90579,181.4756,171.38858,163.46413,149.9878,139.20976,134.36345,122.0927,115.03401,111.539536,109.45072,95.53478,94.5481,86.20211,82.29379,80.078896,76.82689,73.265076,68.233635,66.61621,66.17572,62.769867,62.069622,53.67308,51.525227,50.28755,45.72511,42.71693,37.321518,34.144794,30.626451,28.342909,28.051224,24.119873,23.081154,18.383648,17.340788,14.137469,9.820807,8.962332,6.1682215,3.40624,2.5463846,0.80094796,0.10308052,2.9753798e-13,2.9753798e-13,2.9753798e-13,2.9753798e-13,1.0
1,3468.6663,1109.6954,729.9111,491.54248,429.72797,288.022,271.6882,234.22284,225.801,168.31737,159.11308,132.80486,122.935265,118.455826,111.635345,99.12921,95.87455,78.004776,77.09444,73.57803,69.19983,61.54575,56.66171,54.737263,53.2935,45.94596,45.444756,40.04998,36.712833,34.427097,24.998556,23.985022,22.332245,19.868835,16.002747,14.711716,11.963182,10.934719,10.530971,8.264568,7.8167505,6.4306636,4.9446316,4.267685,3.4642563,2.6978927,2.3466275,1.640612,1.3664011,1.0557843,0.9336918,0.8366737,0.6538392,0.57764333,0.44790274,0.37583873,0.30852795,0.26983202,0.16243331,0.08137938,0.051285174,0.009159717,3.40885e-13,4.2977388e-14,1.0
2,3154.794,2300.825,1192.5114,779.8935,713.7907,632.2829,583.41394,468.5522,428.13538,397.19818,368.25516,326.0039,313.26797,296.13678,286.631,267.85675,248.63675,228.4053,225.54117,196.42276,187.97063,182.61728,171.8846,158.16685,143.6425,135.35394,127.88374,110.84697,105.89665,103.098175,91.69293,83.439445,76.78352,76.26504,69.41262,67.86773,63.814777,62.007114,55.03337,53.617676,49.79748,47.832375,42.402035,40.02786,36.08229,33.10924,29.77993,28.052586,24.364912,21.856668,17.896065,17.16012,15.515509,13.706869,12.523125,9.426159,7.535498,6.156888,4.165773,2.6273768,1.9122007,0.932742,0.82098264,1.3961747e-12,1.0
3,2726.553,1493.2356,811.3615,544.141,444.73218,389.26257,334.1566,304.89706,269.47525,258.58365,237.48955,210.59377,193.51306,176.8557,170.84584,167.07677,153.28342,138.78355,135.28885,129.85385,122.96935,119.45702,114.85744,109.59917,105.994316,94.88671,88.76627,86.54898,78.57027,77.155174,73.292465,69.96388,67.622734,66.77296,62.58856,57.378265,52.41088,51.18381,49.2333,46.30327,43.799732,40.386715,39.725918,38.09928,34.31322,30.288671,27.785072,23.457586,22.834753,20.58353,20.1332,18.58745,16.023115,15.312424,12.1333065,10.791469,10.560207,9.096774,7.3429527,5.5845327,3.63397,2.34145,1.1407298,1.1138568e-12,1.0
4,1866.7146,1685.8585,1558.5732,1491.0756,1048.5712,918.1519,783.01355,751.7657,685.7773,613.0471,519.11774,500.209,469.39294,403.07043,373.77402,352.78165,347.60355,327.10898,284.18375,263.19693,245.71815,230.93982,215.0538,210.48053,196.23972,183.71748,177.29857,172.30574,164.68471,155.03621,148.77612,141.06168,136.59,123.60751,118.73418,113.896835,110.10076,105.69703,101.08328,95.37264,93.85083,86.64805,83.25542,74.243935,69.11472,67.96664,62.78966,61.911953,57.20027,54.541946,46.61043,42.94717,41.1924,32.816647,29.580462,27.518024,20.37034,18.916384,17.384018,11.382573,7.4727874,4.0915556,1.125143,6.7070215e-13,1.0
5,3661.5554,1624.4194,802.14667,558.9963,431.83575,355.43805,293.7985,282.8851,259.7352,246.40463,233.17899,221.4865,210.00966,203.57222,192.50426,181.81474,170.06714,160.54482,153.91783,149.85175,147.0424,140.25035,135.90868,130.06133,126.090576,116.751,110.530914,105.99756,100.18903,98.20808,90.88931,87.976234,75.13619,73.379524,71.83087,68.66059,64.60768,61.705975,53.484196,50.311802,45.497574,43.286293,39.483032,34.172665,31.07101,27.688183,26.398533,22.786081,20.475061,18.951704,12.459719,10.585476,7.4831324,5.8764186,4.270759,1.9411396,0.07461281,5.015664e-13,3.2561584e-13,3.2561584e-13,3.2561584e-13,3.2561584e-13,3.2561584e-13,3.2561584e-13,1.0
6,3997.365,1465.0427,903.7735,689.83386,487.23254,446.9333,363.857,326.3875,311.9319,263.27768,229.11829,222.53908,207.9434,187.4727,170.42053,161.02603,143.9849,136.55,130.02927,128.88431,116.91909,112.305565,107.95172,106.386566,102.5539,92.297874,86.190414,82.87477,77.0069,69.768555,66.32151,62.796597,57.718525,53.66657,50.82351,47.08764,45.398373,39.863815,36.75349,35.298336,33.471546,30.567665,27.139635,26.720541,23.921219,19.381983,18.321154,15.474813,13.716027,12.722854,10.414476,8.158993,5.6487455,4.047881,3.2916515,1.139254,0.66715,3.7982806e-13,3.7982806e-13,3.7982806e-13,3.7982806e-13,3.7982806e-13,3.7982806e-13,3.3409687e-13,1.0
7,2913.436,1424.336,675.9155,547.40265,409.23285,402.49442,344.3686,287.34512,262.69415,238.7009,221.12007,204.5736,199.5599,185.7668,178.29294,167.0401,163.03769,152.86137,146.9867,138.93306,130.3804,125.24052,125.006325,120.6637,108.71593,104.22822,103.61611,96.633804,90.82556,89.168846,82.28309,77.30895,71.86592,69.58475,65.981415,63.985176,61.455708,58.599117,56.86715,48.98047,47.46556,44.41121,41.769386,35.31929,31.93455,29.181242,27.480097,24.04451,21.119093,17.718975,12.710324,9.779576,6.6280127,2.5659688,1.5436349,1.2962489e-12,2.744458e-13,2.744458e-13,2.744458e-13,2.744458e-13,2.744458e-13,2.744458e-13,2.744458e-13,2.5594124e-13,1.0
8,3371.8726,839.5108,777.1086,450.9373,343.044,323.37988,257.5519,250.09682,241.8083,187.52194,150.14337,137.15526,131.04596,120.951515,103.39595,86.44635,82.44321,71.301544,59.1185,53.224976,48.95729,39.230247,36.158073,30.814093,28.672987,24.603876,21.139223,16.958994,12.729099,9.384921,8.310793,6.214258,5.4101033,4.8862762,2.54237,1.2107128,1.0888435,0.8090751,0.7465513,0.34346431,0.1494366,0.010097492,1.4974122e-12,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,3.3278705e-13,1.0
9,2696.259,1109.3469,873.57715,859.1218,516.0407,446.41183,414.5025,375.77927,326.65253,298.3478,274.83502,261.28818,227.25185,216.68161,206.12506,195.51787,194.14438,180.32211,169.98802,157.15363,156.30807,149.27997,143.57768,137.356,132.52496,130.5143,125.50948,117.72998,108.49688,106.48061,100.42022,94.01276,88.17739,87.32825,82.77205,79.25483,70.16279,67.70908,66.6457,62.04476,60.19349,55.105045,50.03897,41.107754,38.935837,31.198162,27.482395,26.66223,24.453558,15.706461,13.296147,10.535815,6.2265077,3.9892237,1.8630226,0.4561041,0.34644818,0.13449918,0.030628957,0.014662688,2.5484167e-13,2.5484167e-13,2.5484167e-13,2.2298646e-13,1.0
